Gen1:1 [1]起初[2]神[3]创造[4]诸天与地，
Jdg1:34 亚摩利人强逼但人住在山地，不容他们下到山谷。
Jdg1:35 亚摩利人执意住在希烈山和亚雅伦并沙宾；然而约瑟家的手重重的加在他们身上，使他们成了服苦役的人。
Jdg1:36 亚摩利人的境界，是从亚克拉滨坡，从西拉而上。
Jdg2:1 [1]耶和华的使者从吉甲上到波金，对以色列人说，我使你们从埃及上来，领你们到我向你们列祖起誓应许之地。我又说，我永不废弃与你们所立的约；
Jdg2:2 你们也不可与这地的居民立约，要拆毁他们的祭坛。你们竟没有听从我的话。你们这作的是什么事？
Jdg2:3 因此我又说，我必不将他们从你们面前赶出；他们必作你们肋下的荆棘；他们的神必作你们的网罗。
Jdg2:4 耶和华的使者向以色列众人说这话的时候，百姓就放声而哭。
Jdg2:5 于是给那地方起名叫[1]波金。众人在那里向耶和华献祭。
Jdg2:6 从前约书亚打发百姓去的时候，以色列人各归自己的地业，占据那地。
Jdg2:7 约书亚在世的日子，以及约书亚死后，那些见过耶和华为以色列人所行大事的长老还在的日子，百姓都事奉耶和华。
Jdg2:8 耶和华的仆人嫩的儿子约书亚，正一百一十岁就死了。
Jdg2:9 [1]以色列人将他葬在他地业的境内，就是在以法莲山地的[2]亭拿希烈，在迦实山的北边。
Jdg2:10 那一代的人也都归了自己的列祖；在他们之后，有另一代的人兴起，不认识耶和华，也不知道耶和华为以色列人所行的事。
Jdg2:11 以色列人行耶和华眼中看为恶的事，去事奉诸巴力，
Jdg2:12 [1]离弃了领他们出埃及地的耶和华他们列祖的神，去随从跪拜别神，就是四围众民的一些神，惹耶和华发怒；
Jdg2:13 并离弃耶和华，去事奉巴力和亚斯他录。
Jdg2:14 耶和华的怒气向以色列人发作，把他们交在抢夺者手中，这些人就抢夺他们；祂又将他们[1]交付在四围仇敌的手中，甚至他们在仇敌面前再不能站立得住。
Jdg2:15 他们[1]无论往何处去，耶和华的手都以灾祸攻击他们，正如耶和华所说的，又如耶和华向他们所起誓的；他们便极其困苦。
Jdg2:16 耶和华兴起士师，士师就拯救他们脱离抢夺他们之人的手。
Jdg2:17 但他们也不听从士师，竟随从别神，行了邪淫，向这些神跪拜，速速的偏离他们列祖所行的道路，不像他们列祖那样听从耶和华的命令。
Jdg2:18 耶和华为他们兴起士师ﺀ就与那士师同在。那士师在世的一切日子，耶和华拯救他们脱离仇敌的手；他们因受人压迫欺凌，就哀声叹气，耶和华便怜恤他们。
Jdg2:19 及至那士师死后，他们就转去行恶，比他们列祖更甚，去随从别神，事奉跪拜这些神，总不断绝他们的恶行，和顽梗的行径。
Jdg2:20 于是耶和华的怒气向以色列人发作；祂说，因这民违背我所吩咐他们列祖遵守的约，不听从我的话，
Jdg2:21 所以约书亚死的时候所剩下的各族，我也必不再从他们面前赶出，
Jdg2:22 为要借着这剩下的各族，试验以色列人，看他们肯不肯谨守遵行我的道路，像他们列祖谨守遵行一样。
Jdg2:23 这样，耶和华留下各族，不将他们速速赶出，也没有交在约书亚的手中。
Jdg3:1 以下这些族是耶和华留下的，为要借着他们试验那未曾晓得迦南任何战事的以色列人，
Jdg3:2 好教导以色列人的后代，至少那些未曾晓得战事的，使他们晓得战事。
Jdg3:3 所留下的就是非利士人的五个首领，和一切迦南人，西顿人，并住利巴嫩山，从巴力黑们山直到哈马口的希未人。
Jdg3:4 这些族留下，为要试验以色列人，好知道他们肯不肯听从耶和华藉摩西吩咐他们列祖的诫命。
Jdg3:5 以色列人便[1]住在迦南人、赫人、亚摩利人、比利洗人、希未人、耶布斯人中间，
Jdg3:6 娶他们的女儿为妻，将自己的女儿嫁给他们的儿子，并事奉他们的神。
Jdg3:7 以色列人行耶和华眼中看为恶的事，忘记耶和华他们的神，去事奉诸巴力和亚舍拉；
Jdg3:8 所以耶和华的怒气向以色列人发作，就把他们交付在米所波大米王古珊利萨田手中。以色列人服事古珊利萨田八年。
Jdg3:9 以色列人哀求耶和华，耶和华就为他们兴起一位拯救者救他们，就是迦勒弟弟基纳斯的儿子俄陀聂。
Jdg3:10 耶和华的灵临到他身上，他就作了以色列的士师。他出去争战，耶和华将米所波大米王古珊利萨田交在他手中，他的手便强过古珊利萨田。
Jdg3:11 于是那地太平四十年。<br class="split">基纳斯的儿子俄陀聂死了。
Jdg3:12 以色列人又行耶和华眼中看为恶的事；耶和华就使摩押王伊矶伦强盛，攻击以色列人，因为他们行耶和华眼中看为恶的事。
Jdg3:13 伊矶伦招聚亚扪人和亚玛力人，前去攻击以色列，占据棕树城。
Jdg3:14 于是以色列人服事摩押王伊矶伦十八年。
Jdg3:15 以色列人哀求耶和华，耶和华就为他们兴起一位拯救者，就是便雅悯人基拉的儿子以笏；他是惯用左手的。以色列人托他送贡物给摩押王伊矶伦。
Jdg3:16 以笏为自己打了一把两刃的剑，长一肘，绑在右边大腿上，在衣服底下。
Jdg3:17 他将贡物献给摩押王伊矶伦。（伊矶伦原是极其肥胖的人。）
Jdg3:18 以笏献完贡物，便将抬贡物的人打发走了，
Jdg3:19 自己却从吉甲附近的雕像那里回来，说，王阿，我有一件机密事奏告你。王说，[1]回避罢。于是左右侍立的人都退去了。
Jdg3:20 以笏来到王面前；王独自一人坐在他的凉楼上。以笏说，我有神的话要告诉你。王就从座位上站起来。
Jdg3:21 以笏便伸左手，从右边大腿上拔出剑来，刺入王的肚腹，
Jdg3:22 连剑柄也随着剑身刺进去了；肥肉把剑身夹住，他没有把剑从王的肚腹拔出来。他就出到庭院。
Jdg3:23 以笏出到游廊，将楼门关锁，把王关在里面。
Jdg3:24 以笏出来之后，王的仆人到了，看见楼门锁了，就说，他必是在凉楼的内室大解。
Jdg3:25 他们等烦了，见王仍不开楼门，就拿钥匙开了；不料，他们的主人已倒在地上死了。
Jdg3:26 他们耽延的时候，以笏逃跑了，经过雕像那里，逃到西伊拉。
Jdg3:27 到了，就在以法莲山地吹角；以色列人随着他下了山地，他在他们前头领路，
Jdg3:28 对他们说，你们紧紧跟着我，因为耶和华已经把你们的仇敌摩押人交在你们手中。于是他们跟着他下去，把守约但河的渡口，拦截摩押人，不容一人过去。
Jdg3:29 那时击杀了摩押人约有一万，都是肥壮的勇士，没有一人逃脱。
Jdg3:30 那日，摩押就在以色列人手下被制伏了。于是那地太平八十年。
Jdg3:31 以笏之后，有亚拿的儿子珊迦，他用赶牛的犁棒打死六百非利士人；他也救了以色列人。
Jdg4:1 以笏死后，以色列人又行耶和华眼中看为恶的事。
Jdg4:2 耶和华就把他们交付于在夏琐作王的迦南王耶宾手中；他的军长是西西拉，住在夏罗设戈印。
Jdg4:3 耶宾王有铁车九百辆；他大大欺压以色列人二十年之久，以色列人就哀求耶和华。
Jdg4:4 有一位女申言者[1]底波拉，是拉比多的妻子，当时作以色列的士师。
Jdg4:5 她常坐在以法莲山地拉玛和伯特利之间的底波拉棕树下。以色列人都上她那里去听判断。
Jdg4:6 她打发人从拿弗他利的基低斯，将亚比挪庵的儿子巴拉召了来，对他说，耶和华以色列的神岂不是已经吩咐你么？祂说，你去，带着一万拿弗他利人和西布伦人，向他泊山进军。
Jdg4:7 我必引耶宾的军长西西拉带着他的战车和全军往基顺河，到你那里去；我必将他交在你手中。
Jdg4:8 巴拉对她说，你若同我去，我就去；你若不同我去，我就不去。
Jdg4:9 底波拉说，我必与你同去，只是你在所行的路上得不着荣耀，因为耶和华要将西西拉交付在一个妇人手里。于是底波拉起来，与巴拉一同往基低斯去。
Jdg4:10 巴拉就召集西布伦人和拿弗他利人到基低斯，跟他上去的有一万人；底波拉也同他上去。
Jdg4:11 基尼人希百曾离开基尼族，离开了摩西岳父何巴的子孙，到靠近基低斯之撒拿音的橡树旁支搭帐棚。
Jdg4:12 有人告诉西西拉说，亚比挪庵的儿子巴拉已经上他泊山了。
Jdg4:13 西西拉就召集所有的战车，就是铁车九百辆，和跟随他的众人，从夏罗设戈印出来，到了基顺河。
Jdg4:14 底波拉对巴拉说，你起来，今日就是耶和华将西西拉交在你手里的日子。耶和华岂不在你前头行么？于是巴拉下了他泊山，跟随他的有一万人。
Jdg4:15 耶和华使西西拉和他一切战车并全军在巴拉面前，在刀下溃乱；西西拉下车步行逃跑。
Jdg4:16 巴拉追赶战车和军队，直到夏罗设戈印。西西拉的全军都倒在刀下，连一个也没有留下。
Jdg4:17 这时，西西拉步行逃跑，到了基尼人希百之妻雅亿的帐棚，因为夏琐王耶宾与基尼人希百家和好。
Jdg4:18 雅亿出来迎接西西拉，对他说，请我主转到我这里来，不要惧怕。西西拉就转到她那里，进了她的帐棚；雅亿用被将他遮盖。
Jdg4:19 西西拉对雅亿说，我渴了，求你给我一点水喝。雅亿就打开盛奶的皮袋，给他喝了，仍旧把他遮盖。
Jdg4:20 西西拉又对雅亿说，请你站在帐棚门口，若有人来问你说，有人在这里没有？你就说，没有。
Jdg4:21 西西拉疲乏沉睡；希百的妻雅亿取了帐棚的橛子，手里拿着锤子，轻悄悄的到他旁边，将橛子从他鬓边钉进去，直钉入地里。西西拉就死了。
Jdg4:22 巴拉追赶西西拉的时候，雅亿出来迎接他说，来罢，我将你所寻找的人给你看。他就进入她帐棚那里，看见西西拉已经死了，倒在地上，橛子还在他鬓中。
Jdg4:23 那日，神就在以色列人面前把迦南王耶宾制伏了。
Jdg4:24 从此以色列人的手越发强硬，胜过迦南王耶宾，直到将他灭绝了。
Jdg5:1 那日，底波拉和亚比挪庵的儿子巴拉唱歌，说，
Jdg5:2 因为以色列中有首领统率，百姓也甘心奉献自己，你们应当颂赞耶和华。
Jdg5:3 君王阿，要听！掌权者阿，要侧耳听！我要向耶和华歌唱；我要歌颂耶和华以色列的神。
Jdg5:4 耶和华阿，你从西珥出来，由以东田间行走；那时地震天漏，云也落雨。
Jdg5:5 诸山见耶和华的面就震动，这西乃山见耶和华以色列神的面也是如此。
Jdg5:6 在亚拿的儿子珊迦之日，在雅亿的日子，大道无人行走，都是绕道而行。
Jdg5:7 以色列中的乡村一无动静，一无动静，直到[1]我底波拉兴起，等我兴起作以色列的母。
Jdg5:8 以色列一选择新神，战事就临到城门；以色列四万人中，岂看得见盾牌枪矛么？
Jdg5:9 我心倾向以色列的统帅，他们在民中甘心奉献自己。你们应当颂赞耶和华！
Jdg5:10 骑白驴的、坐华毯的、行路的，你们都当传扬。
Jdg5:11 在供水之处，人必扬声，比在其间配水之人的声音更响亮，述说耶和华公义的作为，就是祂在以色列乡村公义的作为。那时耶和华的民下到城门。
Jdg5:12 醒起！醒起，底波拉！醒起！醒起，唱歌罢！巴拉，起来；亚比挪庵的儿子，掳掠你的俘虏。
Jdg5:13 那时有余剩的贵胄下来；耶和华的百姓与我一同下来攻击勇士。
Jdg5:14 有生根于亚玛力，从以法莲下来的；便雅悯在民中跟随你。有统帅从玛吉下来，有持着权杖检点民数的，从西布伦下来。
Jdg5:15 以萨迦的首领与底波拉同来；以萨迦以忠诚待巴拉，众人都跟随巴拉冲下山谷。在流便的族系中，有心中定大志的。
Jdg5:16 你为何坐在羊圈之间，听召唤群羊的笛声呢？在流便的族系中，有心中设大谋的。
Jdg5:17 基列人在约但河外居住。但人为何等在船上？亚设人在海岸坐着，在港口居住。
Jdg5:18 西布伦人是拚命敢死之民；拿弗他利人在田野的高处也是如此。
Jdg5:19 君王都来争战。那时迦南诸王在米吉多水旁的他纳争战，却未得掳掠银钱。
Jdg5:20 星宿从天上争战，从其轨道攻击西西拉。
Jdg5:21 基顺河，就是那基顺古河，把[1]敌人冲没；我的魂哪，应当努力前行。
Jdg5:22 那时马蹄顿跺，壮马腾跃。
Jdg5:23 耶和华的使者说，应当咒诅米罗斯，大大咒诅其中的居民；因为他们不来帮助耶和华，不来帮助耶和华攻击勇士。
Jdg5:24 愿基尼人希百的妻子雅亿比众妇人多得福分，比住帐棚的众妇人更蒙福祉。
Jdg5:25 西西拉求水，雅亿给他奶，用款待贵胄的盘子呈上奶酪。
Jdg5:26 雅亿伸手拿着帐棚的橛子，伸右手拿着匠人的锤子，击打西西拉，打伤他的头，把他的鬓角打破穿通。
Jdg5:27 西西拉在她脚前曲身倒卧，在她脚前曲身仆倒；在那里曲身，就在那里仆倒灭亡。
Jdg5:28 西西拉的母亲从窗户里往外观看，从窗棂中尖声呼叫说，他的战车为何耽延不来呢？他的车轮为何行得慢呢？
Jdg5:29 她最聪明的宫女回答她，她也自言自语的说，
Jdg5:30 他们莫非得掠物而分？[1]每个壮士得了一两个女子？西西拉得了彩衣为掳物，得了绣花的彩衣为掠物；这一两件绣花的彩衣，乃是披在掳掠者颈项上的。
Jdg5:31 耶和华阿，愿你的仇敌都这样灭亡。愿爱[1]你的人如日头出现，光辉烈烈。这样，那地太平四十年。
Jdg6:1 以色列人又行耶和华眼中看为恶的事，耶和华就把他们交在米甸人手里七年。
Jdg6:2 米甸人的手压制以色列人；以色列人因米甸人的缘故，就在山中为自己挖穴、挖洞、建造营寨。
Jdg6:3 以色列人每逢撒种之后，米甸人、亚玛力人、和东方人都上来攻打他们，
Jdg6:4 对着他们安营，毁坏地的出产，直到迦萨，没有在以色列中留下食物，羊、牛、驴也没有留下；
Jdg6:5 因为那些人带着牲畜和帐棚上来，像蝗虫那样多，人和骆驼无数，都进入境内，毁坏那地。
Jdg6:6 以色列人因米甸人的缘故，极其穷乏；以色列人就哀求耶和华。
Jdg6:7 当以色列人因米甸人的缘故，哀求耶和华时，
Jdg6:8 耶和华就差遣一位申言者到以色列人那里，对他们说，耶和华以色列的神如此说，我曾领你们从埃及上来，带你们从为奴之家出来，
Jdg6:9 救你们脱离埃及人的手，并脱离一切欺压你们之人的手，把他们从你们面前赶出，将他们的地赐给你们；
Jdg6:10 又对你们说，我是耶和华你们的神；你们住在亚摩利人的地，不可敬畏他们的神。你们竟不听从我的话。
Jdg6:11 [1]耶和华的使者来到俄弗拉，在那里坐在属于亚比以谢人约阿施的橡树下；约阿施的儿子基甸正在酒醡那里打麦子，为要逃躲米甸人。
Jdg6:12 耶和华的使者向基甸显现，对他说，大能的勇士，耶和华与你同在。
Jdg6:13 基甸说，我主，请容我说，耶和华若与我们同在，我们何至遭遇这一切事呢？我们的列祖向我们叙述的，耶和华一切奇妙的作为在那里呢？他们说，耶和华岂不是领我们从埃及上来么？现在祂却丢弃我们，将我们交在米甸人的手中。
Jdg6:14 [1]耶和华面向基甸，说，你靠着你这能力去拯救以色列人脱离米甸人的手，不是我差遣你去的么？
Jdg6:15 基甸说，主阿，请容我说，我凭什么拯救以色列人呢？我的家族在玛拿西支派中是至贫穷的，我在我的父家又是至微小的。
Jdg6:16 耶和华对他说，我必与你同在，你必击打米甸人，如击打一人一样。
Jdg6:17 基甸说，我若在你眼前蒙恩，求你给我显一个证据，使我知道是你与我说话。
Jdg6:18 求你不要离开这里，等我回到你这里，将礼物带来摆在你面前。祂说，我必等你回来。
Jdg6:19 于是基甸去预备了一只山羊羔，用一伊法细面作了无酵饼，将肉放在筐内，把汤盛在壶中，带到橡树下使者那里献上。
Jdg6:20 [1]神的使者对基甸说，将肉和无酵饼放在这磐石上，把汤倒出来。他就这样行了。
Jdg6:21 耶和华的使者伸出手内的杖，杖头挨了肉和无酵饼，就有火从磐石中上来，烧尽了肉和无酵饼。耶和华的使者就不见了。
Jdg6:22 基甸见祂是耶和华的使者，就说，哀哉！主耶和华阿，我不好了，因为我面对面看见了耶和华的使者。
Jdg6:23 耶和华对他说，你安心，不要惧怕，你必不至于死。
Jdg6:24 于是基甸在那里为耶和华筑了一座坛，起名叫[1]耶和华沙龙。这坛到如今还在亚比以谢族的俄弗拉。
Jdg6:25 当那夜，耶和华对基甸说，你取你父亲的牛来，就是那七岁的第二只牛，并且拆毁你父亲为巴力所筑的坛，砍下坛旁的[1]木像，
Jdg6:26 在这保障顶上整整齐齐的为耶和华你的神筑一座坛，将第二只牛献为燔祭，用你所砍下的木像作柴。
Jdg6:27 基甸就从他仆人中挑了十个人，照着耶和华告诉他的[1]行了。他因怕父家和本城的人，不敢在白昼行事，就在夜间行了。
Jdg6:28 城里的人清早起来，见巴力的坛拆毁，坛旁的木像砍下，第二只牛献在新筑的坛上，
Jdg6:29 就彼此说，这事是谁作的？他们查究寻访之后，就说，这是约阿施的儿子基甸作的。
Jdg6:30 城里的人对约阿施说，将你儿子交出来，好治死他；因为他拆毁了巴力的坛，砍下坛旁的木像。
Jdg6:31 约阿施对站着攻击他的众人说，你们是为巴力争辩么？你们要救他么？谁为他争辩，就要趁着早晨将谁处死。巴力若是神，有人拆毁他的坛，让他为自己争辩罢。
Jdg6:32 所以当日人称基甸为[1]耶路巴力，意思说，他拆毁巴力的坛，让巴力与他争辩。
Jdg6:33 那时，所有的米甸人、亚玛力人、和东方人都聚集过河，在耶斯列谷安营。
Jdg6:34 耶和华的灵披戴在基甸身上，他就吹角；亚比以谢族都应召跟随他。
Jdg6:35 他打发使者到全玛拿西，玛拿西人也应召跟随他。他又打发使者到亚设、西布伦、拿弗他利，那些地方的人也都上来与他们会合。
Jdg6:36 基甸对神说，你若照着你所说的，要藉我的手拯救以色列，
Jdg6:37 我就把一团羊毛放在禾场上：若单是羊毛上有露水，而地上都是干的，我就知道你要照着你所说的，藉我的手拯救以色列。
Jdg6:38 次日基甸清早起来，见果然是这样；他将羊毛挤一挤，从羊毛中拧出满盆的露水来。
Jdg6:39 基甸又对神说，求你不要向我发怒，我再说这一次：让我将羊毛再试一次。但愿只有羊毛是干的，而地上都有露水。
Jdg6:40 这夜神也如此行，只有羊毛是干的，而地上都有露水。
Jdg7:1 耶路巴力，就是基甸，和一切跟随的人清早起来，在哈律泉旁安营。米甸营在他们北边的山谷，靠近摩利冈。
Jdg7:2 耶和华对基甸说，跟随你的人[1]太多，我不能将米甸人交在他们手中，免得以色列人向我夸大，说，是我们自己的手救了我们。
Jdg7:3 现在你要宣告使百姓听见，说，凡惧怕战栗的，可以离开[1]这里回去。于是有二万二千人回去，只剩下一万。
Jdg7:4 耶和华对基甸说，人还是太多；你要带他们下到水旁，我好在那里为你试试他们。我指着谁对你说，这人可以同你去，他就可以同你去；我指着谁对你说，这人不可同你去，他就不可同你去。
Jdg7:5 基甸就带他们下到水旁。耶和华对基甸说，凡用舌头[1]舔水，像狗舔的，要使他单站在一处；凡屈膝跪下喝水的，也要使他单站在一处。
Jdg7:6 于是用手捧到嘴边舔水的有三百人，其余的人都屈膝跪下喝水。
Jdg7:7 耶和华对基甸说，我要用这舔水的三百人拯救你们，将米甸人交在你手中；其余的人都可以各归各处去。
Jdg7:8 这三百人就带着食物和角；其余的以色列人，基甸都打发他们各归各的帐棚，只留下这三百人。米甸营在他下边的山谷里。
Jdg7:9 当那夜，耶和华对基甸说，起来，下去攻营，因我已将那营交在你手中。
Jdg7:10 倘若你怕下去，就带你的仆人普拉下到营那里去。
Jdg7:11 你必听见他们所说的，然后你的手就必得加强，你就能下去攻营。于是基甸带着仆人普拉下到营边，靠近部队。
Jdg7:12 米甸人、亚玛力人、和一切东方人都散布在山谷中，如同蝗虫那样多；他们的骆驼无数，多如海边的沙。
Jdg7:13 基甸到了，就听见一人将梦告诉同伴说，我作了一梦，梦见一个大麦圆饼辊入米甸营中，到了帐幕，将帐幕撞倒，帐幕就翻转倾覆了。
Jdg7:14 那同伴回答说，这不是别的，乃是以色列人约阿施的儿子基甸的刀；神已将米甸和全营都交在他的手中。
Jdg7:15 基甸听见这梦的叙述和梦的讲解，就敬拜神。他回到以色列营中，说，起来罢，耶和华已将米甸营交在你们手中了。
Jdg7:16 于是基甸将三百人分作三队，把角和空瓶交在各人手里，瓶内都有火把。
Jdg7:17 他对他们说，你们要看着我，要照我所行的而行。我一到了营边，我怎样行，你们也要怎样行。
Jdg7:18 我和一切跟随我的人吹角的时候，你们也要在全营的四围吹角，喊叫说，耶和华和基甸的刀！
Jdg7:19 基甸和跟随他的一百人，在[1]午夜更之初，才换更的时候，来到营边，就吹角，打破手中的瓶。
Jdg7:20 三队的人都吹角，打破瓶子，左手拿着火把，右手拿着角，喊叫说，耶和华和基甸的刀！
Jdg7:21 他们在营的四围各站各的地方；全营的人都乱窜，一面喊叫，一面逃跑。
Jdg7:22 三百人吹响三百枝角，耶和华使全营的人用刀互相击杀，他们向西利拉逃到伯哈示他，直逃到靠近他巴，亚伯米何拉的河边。
Jdg7:23 以色列人就从拿弗他利、亚设、和全玛拿西，应召来追赶米甸人。
Jdg7:24 基甸打发人到以法莲全山地，说，你们下来攻击米甸人，争先把守约但河的[1]渡口，直到伯巴拉。于是以法莲的众人应召把守约但河的[1]渡口，直到伯巴拉，
Jdg7:25 捉住了米甸的两个首领俄立和西伊伯；将俄立杀在俄立磐石上，将西伊伯杀在西伊伯酒醡那里；又追赶米甸人，将俄立和西伊伯的首级带过约但河，到基甸那里。
Jdg8:1 以法莲人对基甸说，你去与米甸人争战，没有召我们同去，为什么这样待我们？他们就与基甸大大的争闹。
Jdg8:2 基甸对他们说，现在我行了什么能与你们相比呢？以法莲所拾取剩下的葡萄，不强过亚比以谢所摘收的葡萄么？
Jdg8:3 神已将米甸的首领俄立和西伊伯交在你们手中；我能行什么与你们相比呢？基甸说了这话，以法莲人向他的怒气就消了。
Jdg8:4 基甸和跟随他的三百人来到约但河，就过了河，虽然疲乏，还是追赶。
Jdg8:5 基甸对疏割人说，求你们拿些饼来给跟随我的人吃，因为他们疲乏了，我还在追赶米甸的两个王西巴和撒慕拿。
Jdg8:6 但疏割的首领说，[1]难道西巴和撒慕拿已经在你手里，所以我们该将饼给你的军兵么？
Jdg8:7 基甸说，那么，等耶和华将西巴和撒慕拿交在我手里之后，我要把你们的肉踹踏在野地的荆条和枳棘上。
Jdg8:8 基甸从那里上到毗努伊勒，对那里的人也是这样说；毗努伊勒人回答他也像疏割人回答的一样。
Jdg8:9 他也向毗努伊勒人说，等我平平安安回来的时候，我必拆毁这楼。
Jdg8:10 那时西巴和撒慕拿，并跟随他们的军队都在加各，约有一万五千人，就是东方人全军所剩下的；已经倒毙的约有十二万拿刀的。
Jdg8:11 基甸就由挪巴和约比哈东边，从住帐棚人的路上去，在米甸军队安然无备的时候，击杀了他们。
Jdg8:12 西巴和撒慕拿逃跑；基甸追赶他们，捉住米甸的二王西巴和撒慕拿，惊散全军。
Jdg8:13 约阿施的儿子基甸由希列斯坡从阵上回来，
Jdg8:14 捉住疏割的一个少年人，查问他。他将疏割首领和长老七十七个人的名字写下来给基甸。
Jdg8:15 基甸到了疏割，对那里的人说，看哪，西巴和撒慕拿在这里；你们曾指着他们讥诮我说，难道西巴和撒慕拿已经在你手里，所以我们该将饼给跟随你的疲乏人么？
Jdg8:16 于是捉住那城的长老，并拿野地的荆条和枳棘来，用以[1]踹踏疏割人；
Jdg8:17 又拆了毗努伊勒的楼，杀了那城里的人。
Jdg8:18 基甸问西巴和撒慕拿说，你们在他泊山所杀的人是什么样子？他们说，你是什么样子，他们也是什么样子；每一个都像王子的模样。
Jdg8:19 基甸说，他们是我同母的兄弟，我指着永活的耶和华起誓，你们从前若存留他们的性命，我如今就不杀你们了。
Jdg8:20 于是对他的长子益帖说，你起来杀他们。但那童子害怕，不敢拔刀，因为他还是个童子。
Jdg8:21 西巴和撒慕拿说，你自己起来杀我们罢，因为人如何，力量也如何。基甸就起来，杀了西巴和撒慕拿，夺了他们骆驼项上戴的月牙圈。
Jdg8:22 以色列人对基甸说，你既救我们脱离米甸人的手，愿你和你的儿孙管理我们。
Jdg8:23 基甸说，我不管理你们，我的儿子也不管理你们，惟有耶和华管理你们。
Jdg8:24 基甸又对他们说，我有一件事求你们，请你们各人将所夺的耳环给我。（原来米甸人都戴金耳环，因为他们是以实玛利人。）
Jdg8:25 他们说，我们情愿给你。于是铺开一件外衣，各人将所夺的耳环丢在其上。
Jdg8:26 基甸所要来的金耳环重一千七百舍客勒金子。此外还有米甸王身上的月牙圈、耳坠、和紫色衣服，并骆驼项上的链子。
Jdg8:27 基甸以此制造了一个以弗得，设立在本城俄弗拉。后来全以色列在那里随从这以弗得行了邪淫；这就作了基甸和他全家的网罗。
Jdg8:28 这样，米甸人在以色列人面前被制伏了，不能再抬起头来。基甸还在的日子，那地太平四十年。
Jdg8:29 约阿施的儿子耶路巴力回去，住在自己家里。
Jdg8:30 基甸有七十个儿子，都是他[1]亲生的，因为他有许多妻子。
Jdg8:31 他在示剑的妾，也给他生了一个儿子，基甸给他起名叫亚比米勒。
Jdg8:32 约阿施的儿子基甸，享大寿数而死，葬在亚比以谢族的俄弗拉，在他父亲约阿施的坟墓里。
Jdg8:33 基甸死后，以色列人又转去随从诸巴力[1]行邪淫，以巴力比利土为他们的神。
Jdg8:34 以色列人不记念耶和华他们的神，就是拯救他们脱离四围众仇敌之手的；
Jdg8:35 也不照着耶路巴力，就是基甸，向以色列所行一切的善，以恩慈待他的家。
Jdg9:1 耶路巴力的儿子亚比米勒，到了示剑见他的众母舅，对他们和他外祖全家的人说，
Jdg9:2 请你们说给示剑所有的[1]居民听：是耶路巴力的众子七十人都管理你们好呢？还是一人管理你们好？你们又要记念我是你们的骨肉。
Jdg9:3 他的众母舅便将这一切话为他说给示剑的居民听；示剑人的心就归向亚比米勒，因为他们说，他原是我们的弟兄。
Jdg9:4 他们从巴力比利土的庙中取了七十锭银子给亚比米勒；亚比米勒用这银子雇了些无赖放荡之徒，他们便跟随他。
Jdg9:5 他往俄弗拉到他父亲的家，将他的弟兄，耶路巴力的众子七十人都[1]杀在一块石头上；只剩下耶路巴力的小儿子约坦，因为他躲藏了。
Jdg9:6 示剑所有的居民和米罗全家一同聚集，往示剑柱子的橡树旁，立亚比米勒为王。
Jdg9:7 有人将这事告诉约坦，他就去站在基利心山顶上，向众人大声喊叫，说，示剑的居民哪，你们要听我的话，神也就听你们的话。
Jdg9:8 有一次，众树要去膏一树作他们的王，就去对[1]橄榄树说，请你作我们的王。
Jdg9:9 橄榄树对他们说，我岂可停止生产我那尊重神和人的油，去飘飖在众树之上呢？
Jdg9:10 众树对[1]无花果树说，请你来作我们的王。
Jdg9:11 无花果树对他们说，我岂可停止结出我的甘甜和美果，去飘飖在众树之上呢？
Jdg9:12 众树对[1]葡萄树说，请你来作我们的王。
Jdg9:13 葡萄树对他们说，我岂可停止生产我那使神和人喜乐的新酒，去飘飖在众树之上呢？
Jdg9:14 于是所有的树对荆棘说，请你来作我们的王。
Jdg9:15 荆棘对他们说，你们若真诚的膏我为王，就要来投靠在我的荫下；不然，愿火从荆棘里出来，烧灭利巴嫩的香柏树。
Jdg9:16 现在你们若凭真诚和正直而行，立亚比米勒为王，若善待耶路巴力和他的家，照他手当得的待他；
Jdg9:17 （从前我父为你们争战，冒着性命的危险，救了你们脱离米甸人的手。
Jdg9:18 你们如今却起来攻击我的父家，将他众子七十人杀在一块石头上，又立他婢女所生的儿子亚比米勒为示剑居民的王；他原是你们的弟兄；）
Jdg9:19 你们如今若凭真诚和正直待耶路巴力和他的家，就可因亚比米勒喜乐，他也可因你们喜乐；
Jdg9:20 不然，愿火从亚比米勒发出，烧灭示剑的居民和米罗家，又愿火从示剑居民和米罗家发出，烧灭亚比米勒。
Jdg9:21 约坦因怕他弟兄亚比米勒，就逃跑，来到比珥，住在那里。
Jdg9:22 亚比米勒管理以色列人三年。
Jdg9:23 神打发恶灵到亚比米勒和示剑的居民中间，示剑的居民就以诡诈待亚比米勒；
Jdg9:24 这是要叫耶路巴力七十个儿子所受的残害[1]得着报复，又叫那流他们血的罪归与他们的弟兄亚比米勒，就是那杀害他们的，并归与[2]帮助他杀弟兄的示剑居民。
Jdg9:25 示剑的居民在山顶上设埋伏，等候亚比米勒；凡路过他们那里的人，他们就抢夺。有人将这事告诉亚比米勒。
Jdg9:26 以别的儿子迦勒和他的弟兄来到示剑，示剑的居民都信靠他。
